Symbol
NIFTY 200.NS
RELIANCE.NS
VEDL.NS
ETERNAL.NS
HDFCBANK.NS
SUNPHARMA.NS
ICICIBANK.NS
BHARTIARTL.NS
MAZDOCK.NS
M&M.NS
COCHINSHIP.NS
SBIN.NS
ADANIPOWER.NS
ADANIENT.NS
MARUTI.NS
ITC.NS
INFY.NS
BSE.NS
GROWW.NS
LT.NS
GODFRYPHLP.NS
COALINDIA.NS
ONGC.NS
AXISBANK.NS
MCX.NS
DIXON.NS
INDIGO.NS
SUZLON.NS
TATASTEEL.NS
TCS.NS
WAAREEENER.NS
IDEA.NS
FEDERALBNK.NS
RECLTD.NS
DRREDDY.NS
HCLTECH.NS
JIOFIN.NS
SHRIRAMFIN.NS
VBL.NS
BPCL.NS
BHEL.NS
PFC.NS
BAJFINANCE.NS
INDIANB.NS
HINDZINC.NS
TECHM.NS
NTPC.NS
SAIL.NS
SWIGGY.NS
OFSS.NS
INDUSTOWER.NS
ULTRACEMCO.NS
LODHA.NS
BEL.NS
HINDUNILVR.NS
HDFCLIFE.NS
UNIONBANK.NS
NESTLEIND.NS
HINDALCO.NS
HAL.NS
ADANIPORTS.NS
TMPV.NS
EICHERMOT.NS
ADANIGREEN.NS
NATIONALUM.NS
TATAPOWER.NS
BHARATFORG.NS
ATGL.NS
ADANIENSOL.NS
POWERGRID.NS
INDUSINDBK.NS
WIPRO.NS
POWERINDIA.NS
TITAN.NS
TMCV.NS
ENRIN.NS
PERSISTENT.NS
KOTAKBANK.NS
JSWSTEEL.NS
ASHOKLEY.NS
PAYTM.NS
GRASIM.NS
TRENT.NS
M&MFIN.NS
TVSMOTOR.NS
ABB.NS
GVT&D.NS
SBILIFE.NS
YESBANK.NS
IDFCFIRSTB.NS
BAJAJ-AUTO.NS
CANBK.NS
APOLLOHOSP.NS
NMDC.NS
AUROPHARMA.NS
JSWENERGY.NS
HEROMOTOCO.NS
NHPC.NS
ABCAPITAL.NS
HDFCAMC.NS
OIL.NS
POLYCAB.NS
DIVISLAB.NS
RVNL.NS
BRITANNIA.NS
NAUKRI.NS
HAVELLS.NS
CGPOWER.NS
LAURUSLABS.NS
MAXHEALTH.NS
MOTHERSON.NS
BDL.NS
IOC.NS
HINDPETRO.NS
SOLARINDS.NS
EXIDEIND.NS
KEI.NS
CUMMINSIND.NS
DLF.NS
LUPIN.NS
GODREJPROP.NS
BANKBARODA.NS
MPHASIS.NS
TATACONSUM.NS
MOTILALOFS.NS
GLENMARK.NS
PNB.NS
POLICYBZR.NS
ASIANPAINT.NS
PREMIERENE.NS
KALYANKJIL.NS
COFORGE.NS
BANKINDIA.NS
AUBANK.NS
DMART.NS
LICHSGFIN.NS
GAIL.NS
HYUNDAI.NS
MRF.NS
MUTHOOTFIN.NS
LENSKART.NS
JINDALSTEL.NS
CIPLA.NS
BOSCHLTD.NS
BLUESTARCO.NS
SBICARD.NS
ASTRAL.NS
BAJAJFINSV.NS
JUBLFOOD.NS
PHOENIXLTD.NS
SUPREMEIND.NS
GMRAIRPORT.NS
VOLTAS.NS
TATAELXSI.NS
INDHOTEL.NS
CHOLAFIN.NS
UPL.NS
TATACAP.NS
UNITDSPR.NS
RADICO.NS
IRFC.NS
HUDCO.NS
LTF.NS
KPITTECH.NS
TORNTPHARM.NS
PIIND.NS
VMM.NS
SRF.NS
GODREJCP.NS
LTM.NS
ICICIAMC.NS
IREDA.NS
FORTIS.NS
COLPAL.NS
AMBUJACEM.NS
LGEINDIA.NS
SIEMENS.NS
NYKAA.NS
IRCTC.NS
PATANJALI.NS
APLAPOLLO.NS
360ONE.NS
CONCOR.NS
TATACOMM.NS
MARICO.NS
PAGEIND.NS
OBEROIRLTY.NS
MANKIND.NS
TIINDIA.NS
PRESTIGE.NS
ICICIGI.NS
COROMANDEL.NS
ZYDUSLIFE.NS
MFSL.NS
BIOCON.NS
ALKEM.NS
PIDILITIND.NS
DABUR.NS
TATAINVEST.NS
SHREECEM.NS
BAJAJHLDNG.NS
